Source,Target,Type
Valerie J. Shute,Cognitive psychology,undirected
Valerie J. Shute,Education,undirected
Valerie J. Shute,Biology,undirected
Valerie J. Shute,The learning sciences,undirected
Kevin A. Gluck,Cognitive science,undirected
Kevin A. Gluck,The learning sciences,undirected
Daniel C. Edelson,Computer Science,undirected
Daniel C. Edelson,Education,undirected
Daniel C. Edelson,The learning sciences,undirected
Janet L. Kolodner,math,undirected
Janet L. Kolodner,computer science,undirected
Susan A. Yoon,Biology,undirected
Susan A. Yoon,Education,undirected
Susan A. Yoon,Science,undirected
Susan A. Yoon,Technology Education,undirected
Susan A. Yoon,Science Education,undirected
Jan van Aalst,Physics,undirected
Jan van Aalst,Education,undirected
Jan van Aalst,Science Education,undirected
Iris Tabak,Learning Sciences,undirected
Iris Tabak,Computer Engineering,undirected
Josh Radinsky,Comparative History,undirected
Josh Radinsky,Learning Sciences,undirected
Leema Berland,Learning Sciences,undirected
Leema Berland,Computer Science,undirected
Leema Berland,Educational Studies,undirected
Douglas Clark,Chemistry,undirected
Erica Halverson,Theatre,undirected
Erica Halverson,Learning Sciences,undirected
Manu Kapur,Mechanical Engineering,undirected
Manu Kapur,education,undirected
Manu Kapur,science,undirected
Susan McKenney,Sociology,undirected
Susan McKenney,education,undirected
Chiu Ming Ming,Computer Science,undirected
Chiu Ming Ming,Interactive Technology,undirected
Chiu Ming Ming,Mathematics Education,undirected
Chiu Ming Ming,Laude,undirected
Mitchell Nathan,Electrical,undirected
Mitchell Nathan,COmputer Engineering,undirected
Mitchell Nathan,Math,undirected
Mitchell Nathan,History,undirected
Jeremy Roschelle,mathematics education,undirected
Alyssa Wise,Learning Sciences,undirected
Alyssa Wise,Chemistry,undirected
Alyssa Wise,Instructional Systems Technology,undirected
Jianwei Zhang,educational psychology,undirected
John P. Smith,Cognitive Studies,Undirected
John P. Smith,Educational Psychology,Undirected
John P. Smith,Mathematics,Undirected
John P. Smith,Philosophy,Undirected
John P. Smith,The Learning Science,Undirected
Allan M. Collins,The Learning Science,Undirected
Allan M. Collins,Psychology,Undirected
Allan M. Collins,Artificial intelligence,Undirected
Allan M. Collins,Education,Undirected
Andrea A. diSessa,The Learning Science,Undirected
Andrea A. diSessa,Physics,Undirected
G. Michael Bowen,The Learning Science,Undirected
G. Michael Bowen,Science Education,Undirected
G. Michael Bowen,News Media,Undirected
G. Michael Bowen,Teacher Education,Undirected
John R. Frederiksen,The Learning Science,Undirected
John R. Frederiksen,Psychology,Undirected
Wolff-Michael Roth,The Learning Science,Undirected
Wolff-Michael Roth,Physics,Undirected
Wolff-Michael Roth,Science and Technology,Undirected
Wolff-Michael Roth,Cognition,Undirected
Wolff-Michael Roth,Statistics,Undirected
Wolff-Michael Roth,Physical Chemistry,Undirected
Amy S. Kohn,Educational Policy,Undirected
Amy S. Kohn,Mathematics Education,Undirected
Amy S. Kohn,Science Education,Undirected
Amy S. Kohn,The Learning Science,Undirected
Jan Hawkins,Psychology,Undirected
Jan Hawkins,Education,Undirected
Jan Hawkins,The Learning Science,Undirected
Ann C. H. Kindfield,The Learning Science,Undirected
Ann C. H. Kindfield,Math,Undirected
Ann C. H. Kindfield,Science,Undirected
Ann C. H. Kindfield,Technology,Undirected
Baruch B. Schwarz,The Learning Science,Undirected
Baruch B. Schwarz,Educational Technology,Undirected
Baruch B. Schwarz,Mathematics Education,Undirected
Colleen M. Seifert,The Learning Science,Undirected
Colleen M. Seifert,Psychology,Undirected
Colleen M. Seifert,Cognitive Science,Undirected
Scott W. VanderStoep,The Learning Science,Undirected
Scott W. VanderStoep,Education,Undirected
Scott W. VanderStoep,Psychology,Undirected
Scott W. VanderStoep,Social Psychology,Undirected
Scott W. VanderStoep,Religion,Undirected
Tammy Chaney Cullen,Elementary Education,Undirected
Tammy Chaney Cullen,Instructional System Technology,Undirected
Tammy Chaney Cullen,Learning and Development,Undirected
Carmi Schooler,Psychology,Undirected
Carmi Schooler,Sociology,Undirected
Kurt VanLehn,Computer Science,Undirected
Kurt VanLehn,Cognitive Science,Undirected
Kurt VanLehn,the Leanring Sciences,Undirected
Timothy Koschmann,Ethics,Undirected
Timothy Koschmann,Education,Undirected
Timothy Koschmann,Medical Education,Undirected
Allan Collins,Communication Sciences,Undirected
Allan Collins,Cognitive Psychology,Undirected
Allan Collins,Education and Social Policy,Undirected
Albert T. Corbett,Psychology,Undirected
Albert T. Corbett,Humanâ€“computer Interaction,Undirected
McDermott Ray,Anthropology,Undirected
McDermott Ray,Chinese,Undirected
McDermott Ray,Philosophy,Undirected
McDermott Ray,Elementary Education,Undirected
Amy M. Shapiro,Psychology,Undirected
Allan Jeong,Psychology,Undirected
Allan Jeong,Educational Technology,Undirected
Allan Jeong,Instructional System,Undirected
Eric Fehse,Psychology,Undirected
Eric Fehse,Cognitive Psychology,Undirected
Eric Fehse,Interaction Design,Undirected
Wolff-Michael Roth,Nuclear Physics,Undirected
Wolff-Michael Roth,Physical Sciences,Undirected
Sasha Barab,Psychology,Undirected
Sasha Barab,Educational Technology,Undirected
Sasha Barab,the Learning Sciences,Undirected
Daniel Edelson,Computer science,Undirected
Daniel Edelson,Software System,Undirected
William Frawley,Cognitive Science,Undirected
Timothy Koschmann,Philosophy,Undirected
Timothy Koschmann,Computer Science,Undirected
Timothy Koschmann,Medical Education,Undirected
William Clancey,Computer Science,Undirected
William Clancey,Mathematical Sciences,Undirected
Janet L. Kolodner,Mathematics,Undirected
Janet L. Kolodner,Computer Science,Undirected
Roger C. Schank,linguistics,Undirected
Menachem Y. Jona,Psychology,Undirected
Menachem Y. Jona,Computer Science,Undirected
Marlene Scardamalia,Educational Psychology,Undirected
Marlene Scardamalia,English,Undirected
Marlene Scardamalia,Applied Psychology,Undirected
Kurt A. VanLehn,Mathematics,Undirected
Kurt A. VanLehn,Computer Science,Undirected
Kristian J. Hammond ,Philosophy,Undirected
Kristian J. Hammond ,Computer Science,Undirected
Kenneth C. Gray,Economics,Undirected
Kenneth C. Gray,Counselling Psychology,Undirected
Kenneth C. Gray,Vocational and Technical Education,Undirected
Michael Pazzani,Computer Science,Undirected
Miriam Reiner,Physics,Undirected
Ashwin Ram,Computer Science,Undirected
Mark H. Burstein,Mathematics,Undirected
Mark H. Burstein,Computer Science,Undirected
Allan Collins,Communication Engineering,Undirected
Allan Collins,Cognitive psychology,Undirected
Roland Zito-Wolf,Computer Science,Undirected
Roland Zito-Wolf,Electrical Engineering,Undirected
Tamitha Carpenter,Computer Science,Undirected
Wolff-Michael Roth,Cognitive Science,Undirected 
Wolff-Michael Roth,Physics,Undirected 
Janet L.Kolodner,Computer science,Undirected 
Wolff-Michael Roth,Cognitive Science,
