source,target,type,year,code
Nicole A. Bannister,Mathematical Sciences,Undirected,2015,10
Nicole A. Bannister,Learning Sciences,Undirected,2015,20
Nicole A. Bannister,Teacher Education,Undirected,2015,30
Ilana Seidel Horn,Teaching and Learning,Undirected,2015,30
Britnie Delinger Kane,English,Undirected,2015,00
Britnie Delinger Kane,Secondary English Education,Undirected,2015,10
Britnie Delinger Kane,Literacy Education,Undirected,2015,20
Britnie Delinger Kane,Teacher Learning,Undirected,2015,30
Jennifer Evarts Lineback,Chemistry,Undirected,2015,00
Jennifer Evarts Lineback,Zoology,Undirected,2015,10
Jennifer Evarts Lineback,Math and Science Education,Undirected,2015,20
Hala Ghousseini,Philosophy,Undirected,2015,20
Heather Beasley,Mathematics,Undirected,2015,30
Timothy Koschmann,Philosophy,Undirected,2015,00
Timothy Koschmann,Psychology,Undirected,2015,10
Timothy Koschmann,Computer Science,Undirected,2015,20
Timothy Koschmann,Medical Education,Undirected,2015,30
Einat Heyd-Metzuyanim,Psychology and Computer Science,Undirected,2015,00
Einat Heyd-Metzuyanim,Educational Counseling,Undirected,2015,10
Einat Heyd-Metzuyanim,Mathematics Education,Undirected,2015,20
Einat Heyd-Metzuyanim,Psychology,Undirected,2015,30
Tesha Sengupta-Irving,Science,Undirected,2015,00
Tesha Sengupta-Irving,Teacher Credentialing,Undirected,2015,10
Tesha Sengupta-Irving,Teacher Education,Undirected,2015,20
Tesha Sengupta-Irving,Learning Sciences,Undirected,2015,30
Noel Enyedy,Cognitive Science,Undirected,2015,00
Noel Enyedy,Education,Undirected,2015,10
Noel Enyedy,Education,Undirected,2015,20
Noel Enyedy,Education,Undirected,2015,30
Taylor Martin,Mathematics,Undirected,2015,00
Taylor Martin,Mathematics,Undirected,2015,10
Taylor Martin,Mathematics,Undirected,2015,20
Taylor Martin,Mathematics,Undirected,2015,30
Carmen Petrick Smith,Mathematics Education,Undirected,2015,20
Carmen Petrick Smith,Mathematics Education,Undirected,2015,30
Ani Aghababyan,Law,Undirected,2015,00
Ani Aghababyan,Business Administration,Undirected,2015,10
Ani Aghababyan,Philosophy,Undirected,2015,20
Ani Aghababyan,Education,Undirected,2015,30
Pratim Sengupta,Physics,Undirected,2015,00
Pratim Sengupta,Physics,Undirected,2015,10
Pratim Sengupta,Learning Sciences,Undirected,2015,20
Pratim Sengupta,Educational technology,Undirected,2015,30
Kara D. Krinks,Engineering Science,Undirected,2015,00
Kara D. Krinks,Physics,Undirected,2015,10
Kara D. Krinks,Mathematics and Science Education,Undirected,2015,20
Kara D. Krinks,Teaching and Learning,Undirected,2015,30
Douglas B. Clark,Biology,Undirected,2015,00
Douglas B. Clark,Education,Undirected,2015,10
Douglas B. Clark,Education,Undirected,2015,20
Douglas B. Clark,Design Based Learning,Undirected,2015,30
