source,target,type,year,code
Chris Piech,Computer Science,Undirected,2014,10
Chris Piech,Artificial Intelligence,Undirected,2014,20
Chris Piech,Computer Science,Undirected,2014,30
Mehran Sahami,Computer Science,Undirected,2014,00
Mehran Sahami,Computer Science,Undirected,2014,10
Mehran Sahami,Computer Science,Undirected,2014,20
Mehran Sahami,Computer Science,Undirected,2014,30
Steven Cooper,Chemistry,Undirected,2014,00
Steven Cooper,Mathematics,Undirected,2014,00
Steven Cooper,Computer Science,Undirected,2014,10
Steven Cooper,Computer Science,Undirected,2014,20
Steven Cooper,Computer Science,Undirected,2014,30
Daphne Koller,Computer Science,Undirected,2014,00
Daphne Koller,Computer Science,Undirected,2014,10
Daphne Koller,Computer Science,Undirected,2014,20
Daphne Koller,Computer Science,Undirected,2014,30
Janneke van de Pol,Psychology,Undirected,2014,00
Janneke van de Pol,Psychology,Undirected,2014,10
Janneke van de Pol,Education,Undirected,2014,20
Janneke van de Pol,Education Research,Undirected,2014,30
Frans Oort,Social and Behavioural Sciences,Undirected,2014,30
Jos Beishuizen,Educational Research,Undirected,2014,30
Manu Kapur,Mechanical Engineering,Undirected,2014,00
Manu Kapur,Education,Undirected,2014,10
Manu Kapur,Applied Statistics,Undirected,2014,10
Manu Kapur,Educational Technology,Undirected,2014,20
Manu Kapur,Media,Undirected,2014,20
Manu Kapur,Learning Sciences,Undirected,2014,30
