source,target,type,year,make,,,
Susan A. Yoon,Teaching Learning and Leadership Division,Undirected,2017,,,,
Cindy E. Hmelo-Silver,Cardiorespiratory Sciences,Undirected,2017,00,,,
Cindy E. Hmelo-Silver,Educational Computing,Undirected,2017,10,,,
Cindy E. Hmelo-Silver,Cognitive Studies,Undirected,2017,20,,,
Cindy E. Hmelo-Silver,Education and Technology,Undirected,2017,30,,,
Benzi Slakmon,Humanities,Undirected,2017,00,,,
Benzi Slakmon,History and Philosophy of Education,Undirected,2017,10,,,
Benzi Slakmon,Education,Undirected,2017,20,,,
Benzi Slakmon,Education,Undirected,2017,30,,,
Baruch B. Schwarz,Mathematics,Undirected,2017,10,,,
Baruch B. Schwarz,Science Education,Undirected,2017,20,,,
Baruch B. Schwarz,"Learning,Instruction and Computers",Undirected,2017,30,,,
Matthew W. Easterday,Psychology and Mathematics,Undirected,2017,00,,,
Matthew W. Easterday,Human-Computer Interaction,Undirected,2017,10,,,
Matthew W. Easterday,Science in Human-Computer Interaction,Undirected,2017,10,,,
Matthew W. Easterday,Human-Computer Interaction,Undirected,2017,20,,,
Matthew W. Easterday,Learning Sciences,Undirected,2017,30,,,
Matthew W. Easterday,School of Education and Social Policy,Undirected,2017,30,,,
Vincent Aleven,Computer Science,Undirected,2017,10,,,
Vincent Aleven,Intelligent Systems,Undirected,2017,20,,,
Vincent Aleven,Human-Computer Interaction,Undirected,2017,30,,,
Richard Scheines,Philosophy of Science,Undirected,2017,20,,,
Sharon Carver,Psychology,Undirected,2017,30,,,
Kay E. Ramey,"Psychology,Art and Practice",Undirected,2017,00,,,
Kay E. Ramey,Social Sciences,Undirected,2017,10,,,
Kay E. Ramey,Learning Sciences,Undirected,2017,20,,,
David H. Uttal,Psychology,Undirected,2017,10,,,
David H. Uttal,Developmental Psychology,Undirected,2017,20,,,
David H. Uttal,Psychology,Undirected,2017,30,,,
Katherine E. Lewis,Art History,Undirected,2017,00,,,
Katherine E. Lewis,Law,Undirected,2017,20,,,
Katherine E. Lewis,Innovative Ventures,Undirected,2017,30,,,
Philip Bell,Electrical Engineering & Computer Science,Undirected,2017,00,,,
Philip Bell,Human Development & Cognition,Undirected,2017,10,,,
Philip Bell,"Education in Math, Science & Technology",Undirected,2017,10,,,
Philip Bell,Human Development & Cognition,Undirected,2017,20,,,
Philip Bell,"Education in Math, Science & Technology",Undirected,2017,20,,,
Philip Bell,Learning Sciences,Undirected,2017,30,,,
Katie Van Horne,Basic Medical Sciences,Undirected,2017,00,,,
Katie Van Horne,Learning Sciences,Undirected,2017,20,,,
Katie Van Horne,Learning Sciences & Human Development,Undirected,2017,30,,,
Britte Haugan Cheng,Developmental Psychology,Undirected,2017,00,,,
Britte Haugan Cheng,"Science Education,Assessment,Educational Technology",Undirected,2017,10,,,
Britte Haugan Cheng,Cognition Development,Undirected,2017,20,,,
Britte Haugan Cheng,Education Research and Design,Undirected,2017,30,,,
Na’ilah Suad Nasir,Educational Psychology,Undirected,2017,20,,,
Na’ilah Suad Nasir,Equity and Inclusion,Undirected,2017,30,,,
Sepehr Vakil,Electrical Engineering,Undirected,2017,00,,,
Sepehr Vakil,Electrical Engineering,Undirected,2017,10,,,
Sepehr Vakil,Education,Undirected,2017,20,,,
Sepehr Vakil,Curriculum & Instruction,Undirected,2017,30,,,
Carrie D. Allen,English Literature,Undirected,2017,00,,,
Carrie D. Allen,teacher,Undirected,2017,10,,,
Carrie D. Allen,Learning Sciences and Human Development,Undirected,2017,20,,,
Carrie D. Allen,Technology in Learning,Undirected,2017,30,,,
Margaret Eisenhart,French Literature,Undirected,2017,00,,,
Margaret Eisenhart,Anthropology,Undirected,2017,10,,,
Margaret Eisenhart,Anthropology,Undirected,2017,20,,,
Margaret Eisenhart,"Educational Foundations, Policy and Practice/ Research",Undirected,2017,30,,,
Margaret Eisenhart,Evaluation Methodology,Undirected,2017,30,,,
Katie Van Horne,Basic Medical Sciences,Undirected,2017,00,,,
Katie Van Horne,Learning Sciences,Undirected,2017,20,,,
Katie Van Horne,Learning Sciences & Human Development,Undirected,2017,30,,,
Philip Bell,Electrical Engineering & Computer Science,Undirected,2017,00,,,
Philip Bell,Human Development & Cognition,Undirected,2017,10,,,
Philip Bell,"Education in Math, Science & Technology",Undirected,2017,10,,,
Philip Bell,Human Development & Cognition,Undirected,2017,20,,,
Philip Bell,"Education in Math, Science & Technology",Undirected,2017,20,,,
Philip Bell,Learning Sciences & Human,Undirected,2017,30,,,
Nichole Pinkard,Computer Science,Undirected,2017,00,,,
Nichole Pinkard,Computer Science,Undirected,2017,10,,,
Nichole Pinkard,Learning Sciences,Undirected,2017,20,,,
Nichole Pinkard,Computing and Digital Media,Undirected,2017,30,,,
Sheena Erete,Computer Science,Undirected,2017,00,,,
Sheena Erete,Mathematics,Undirected,2017,00,,,
Sheena Erete,Computer Science,Undirected,2017,10,,,
Sheena Erete,Technology and Social Behavior,Undirected,2017,20,,,
Sheena Erete,Computing and Digital Media,Undirected,2017,30,,,
Caitlin K. Martin,"Learning, Design, and Technology",Undirected,2017,10,,,
Caitlin K. Martin,Computer Supported Collaborative Learning,Undirected,2017,30,,,
Caitlin K. Martin,Learning and Instruction,Undirected,2017,30,,,
Caitlin K. Martin,Computer Supported Education,Undirected,2017,30,,,
Maxine McKinney de Royston,"Education, Research and Cognition in Mathematics Education",Undirected,2017,20,,,
Maxine McKinney de Royston,Curriculum and Instruction,Undirected,2017,30,,,
Carol D. Lee,The Teaching of Secondary School English,Undirected,2017,00,,,
Carol D. Lee,English,Undirected,2017,10,,,
Carol D. Lee,Education,Undirected,2017,20,,,
Carol D. Lee,Education and Social Policy,Undirected,2017,30,,,
Carol D. Lee,Learning Sciences,Undirected,2017,30,,,
Carol D. Lee,African American Studies,Undirected,2017,30,,,
Heidi B. Carlone,Science Education,Undirected,2017,00,,,
Heidi B. Carlone,Curriculum and Instruction,Undirected,2017,20,,,
Heidi B. Carlone,Teacher Education and Higher Education,Undirected,2017,30,,,
Katie Headrick Taylor,Urban Studies,Undirected,2017,00,,,
Katie Headrick Taylor,Learning Sciences,Undirected,2017,20,,,
Katie Headrick Taylor,Learning Sciences,Undirected,2017,30,,,
Laura Hemberger,Special Education and Teaching,Undirected,2017,00,,,
Laura Hemberger,Developmental and Child Psychology,Undirected,2017,10,,,
Laura Hemberger,Cognitive Science/Developmental Psychology,Undirected,2017,20,,,
Laura Hemberger,Media Analytics,Undirected,2017,30,,,
Deanna Kuhn,Science,Undirected,2017,00,,,
Deanna Kuhn,Developmental Psychology,Undirected,2017,20,,,
Deanna Kuhn,Psychology and Education,Undirected,2017,30,,,
Flora Matos,Psychology,Undirected,2017,00,,,
Flora Matos,Psychology,Undirected,2017,10,,,
Flora Matos,Cognitive Development,Undirected,2017,20,,,
Flora Matos,Teachers,Undirected,2017,30,,,
Yuchen Shi,English and American Literature,Undirected,2017,00,,,
Yuchen Shi,"Language,Cognition and Human Development",Undirected,2017,10,,,
Yuchen Shi,Applied Statistics,Undirected,2017,10,,,
Yuchen Shi,Cognitive Sciences,Undirected,2017,10,,,
Yuchen Shi,Cognitive Psychology,Undirected,2017,20,,,
Catherine Eberbach,Education,Undirected,2017,30,,,
Kevin Crowley,Psychology and Education,Undirected,2017,00,,,
Kevin Crowley,Psychology,Undirected,2017,20,,,
Kevin Crowley,Learning Research and Development,Undirected,2017,30,,,
Laurie H. Rubel,Mathematics,Undirected,2017,00,,,
Laurie H. Rubel,Mathematics Education,Undirected,2017,10,,,
Laurie H. Rubel,Mathematics Education,Undirected,2017,20,,,
Laurie H. Rubel,Secondary Education,Undirected,2017,30,,,
Maren Hall-Wieckert,English Language and Literature,Undirected,2017,00,,,
Maren Hall-Wieckert,Education,Undirected,2017,30,,,
Vivian Y. Lim,mathematics education,Undirected,2017,20,,,
Vivian Y. Lim,secondary mathematics education,Undirected,2017,30,,,
